"","text"
"42","thanks for the item  "
"43","no bad use "
"44","item received and working only thing is the arm band doesnt stick well moden is already very strong dont dare try mode "
"45","item received as stated hope it works will try out soon thanks "
"46","good"
"47","fast delivery  looks legit as you can feel the effects when using "
"48","arrived in good condition will test out after charging the energy pads"
"49","item looks good good thing is its rechargeable"
"50","item received in good condition will try it out later"
"51","thnk u my order are recieved now"
"52","nicely packed thin pads strong frequency  hopefully can see the effects soon"
"53","product arrived in neatly packed package have tried for a few hours today and it worked the vibration can be quite strong user manual is simple and didnt explain the  modes but can be figured out good value for the price "
"54","item received in good working condition really enjoyed the muscle toner gear everyday worth the money"
"55","nicely packed in a box for full set look ok and will try it out hope it works"
"56","came and delivered with all the pads nicely packaged will use when in need d"
"57","recieve fast trying soon"
"58","package well received i have tried it waiting to see if theres any results"
"59","item is as described fast delivery am using it now its good in working condition as described"
"60","the delivery was fast i have not try but  quality is good i will buy again"
"61","thanks "
"62","ok fast delivery "
"63","received the product within a week is really fast box dented but is ok coz importantly are the contents received in good condition "
"64","received in  days after placed order super fast "
"65","items as describe but not sure how effective"
"66","i just got a electric shock with this thing wth its really bad"
"67","order received have yet to try will update after trying"
"68","strength is good with  mode excellent product "
"69","thank item get and satisfied "
"70","now i can trainzzz item delivered fast and easy to use well recommended seller"
"71","bought the full set received as described have to note that you need to buy additional gel pads as the prestuck gel pads will only last you approximately  week"
"72","items received all items looks very small compared to pictures in the ad listing "
"73","very good product "
"74","item well received thank you"
"75","do not like the fit so much very different material as compared to other design in the same brand "
"76","order received in  days my second purchase for this design  absolutely love the quality material and fitting of this and this purple color is gorgeous size m fits perfect for a usual nike sports bra sm"
"77","received the product fast and  super comfy quality is good even though   for exercising but it can be wear out as a simple top     photo is slightly filtered but the colors are true to seller‚s picture "
"78","soft not bad"
"79","thanks to the review by the ladies got m for me which is the sport size of s to m  good fit love the purple color "
"80","order took abt  days to reach me i usually wear s for tops so this fits well but the straps are a lil tight as i have pretty broad shoulders also bit difficult to put on and take off maybe i‚ll try m next love the material"
"81","well received "
"82","item received few days ago abdominal left and right parts not working vibration feedback to the seller but no result given "
"83","great product and customer service will purchase from this seller "
"84","items received well packed delivery is quite fast received within  week after order yet to try it hopefully it work well and show some result "
"85","box damage when received "
"86","fast delivery and the product is as like the photo displayed "
"87","comes with a bag and workout instructions perfect thank you"
"88","the band looks great tried the resistance and it feels good hope to use it soon"
"89","csnt wait to try them love the colours as well thanks for the quick delivery "
"90","great porduct delivert quite fast"
"91","received in good quality i like the colours  "
"92","fast delivery works well"
"93","receives the items in good condition and they are packed nicely in good packaging this item is good to use and this is my nd purchase and recommend to purchase"
"94",""
"95","product received in good quality  tried using it for the first time wow the intensity is really power by using  mins on my arms and abdominals i start to sweat already thanks for the wonderful product hope after using for  months can see some results "
"96","dint get the gel pad tho the rest as described "
"97","great works well"
"98","thank u"
"99","i like the length of the tank top nicely cropped but not too short the cup inside was a little too thick for my liking but the material is rly good for this price "
"100","though the paddings are rather thick item came in good quality and for the price i paid for it was a good buy "
"101","love the low back cutting "
"102","item well received have yet to try hope   nice thank u"
"103","cutest top ever"
"104","the padding is big but not an issue as it can be swapped out otherwise love the cut especially the back"
"105","looks pretty good feels thick as well yet to wear "
"106","love this just that the bottom area is kinda loose  it has an always lift at the back "
"107","fabric is pretty thick   good for yoga but higher impact exercises not really "
"108","gr but awkward lift at the back "
"109","brand on tag and bag is not mp like my previous purchases but good material "
"110","loving the backless sports bra feels like i can wear it on its own or with another backless crop top a little bit tight for my size but still able to fit "
"111","the purple looks a bit darker in real life still happy thanks"
"112","ordered on th june received on rd june th time purchasing and it is always a pleasant experience selected the wrong size and seller was helpful to amend my order satisfied thou would have preferred if the inside do not have a separated band i suppose it gives more support that way anyway"
"113","received in  days usually a nike sports bra size sm i opted m for this based on the measurements provided and it fits nicely love that the white color material is good and thick enough so it is not see through "
"114","repeated buyer fits so well and so cheap when bought during flash deal thank you"
"115","second time buying from moving peach this time not  satisfied with all items i like the cutting for this fit is fine too just that it comes with weird thick padding and is not so stretchy i don‚t like work out tops that are a struggle to remove "
"116","well received material is good thick stretchy and opaque "
"117","quick delivery and item looks exactly like photos great quality at such a low price i would suggest sticking to your usual sizing as l is way larger than any of the other tops"
"118","material feels good items are exact to the pictures  yet to try on though   thanks‚"
"119","love it niw using it"
"120","received the product within  days box was dented but product seems ok have yet to try it thanks to the seller"
"121","the product delivered as expected its good but just want to know how to get the gel"
"122","fast delivery and good quality its really working well it makes me sweat a lot what makes me more contented is that once you on itit will not shocked you its slowly working and u can choose how the level i love it the most among all i tried thanks seller i highly recommend you god bless"
"123","as advertised sturdy and worth the money "
"124","received in good condition yet to try to see if it works"
"125","well received box a little dented but all‚s good just thought that a full set came with the gel pads as well but i was wrong "
"126","product came in fast in goood packaging and waiting to try it out"
"127","well received but not yet try is working or not thank you"
"128","the delivery was quick the ab trainer has faulty but the seller will be providing a new set for me thanks  great service"
"129","well received "
"130","item received with great condition  star rate as promised "
"131","not bad this product "
"132","the left and right is not having vibration only middle part is working  the arm band stimulation also not having uniform distribution "
"133","came quite fast havent tried yet "
"134","item came very fast and in good conditions i will buy it always and again "
"135","item came in very fast and in good conditions i will buy again and again "
"136","good "
"137","a pad was not functioning as per normal however with the great customer support from the seller it brings trust to all consumer to purchase more from them the seller can guide on the troubleshooting of themuscle trainer and will send out a new defective parts to customerwaiting for the parts now"
"138","sound great of the product havent try yet hopefully got effect for my body fat burning "
"139","well packaged hope it works "
"140","product is good gel can be used for maybe  times will recommend  "
"141","gel is good and comfortable does not irritate my skin good"
"142","see nice let my friend try "
"143","item received as described and in good condition"
"144","great item"
"145","order received box was destroyed but item inside still nicely packed tried and could feel the contractions "
"146","good product really can feel a little sweaty i have used for three days still starting from low to high current however right side stronger than left so abs may turn out lopsided other than that i think must also control diet and workout this is just an additional measure"
"147","as it had stated"
"148","intensity is very strong only downside is the arm band is very short and cant cover the entire arm and may come off during use otherwise  is a good value purchase"
"149","received item yesterday tested the device and it is working great just that   a bit flimsy "
"150","very well packaged and the size is just nice worth the money "
"151","product is great however delivery man left at the door without informing "
"152","so pretty pink thank you for such a fast delivery will buy again"
"153","good buy  "
"154","material feels like styrofoam and the backbone of the roller feels like toilet roll not keen to use it not a good buy "
"155","item as described delivery took abit of time but understandable cant wait to use it "
"156","product is good quality and sturdy will definitely recommend"
"157","the roller arrived very fast even though the circuit breaker"
"158","received the item in great condition "
"159","love this colour foam roller was out of stock but seller replied promptly about the restocking date shipping was very quick too"
"160","item came as per described really good use  fast delivery highly recommended"
"161","fast delivery  works as it should"
"162","speedy delivery  minor cracks on the foam portion"
"163","delivery was quick despite the situation tried it works well really like the  different textures "
"164","this local delivery took longer than expected  saw tracking status updates order  may and received  may fine as i was not rushing   "
"165","fast delivery product as described user it on the day it arrived to ease my muscle ache "
"166","good massage foam roller is well built"
"167","delivery was really quick item came as described and its rly sturdy as well "
"168","foam roller was in excellent condition and arrived very quickly"
"169","delivery was fast  only  days and items is true to the picture of item  good quality  will buy again from this local buyer ‚"
"170","thank you for the fast delivery perfect size and color i recommend this product "
"171","lime green doesnt look too bad"
"172","bought it as a gift for a friend delivered straight to her she said   really useful after long bike rides‚"
"173","delivery took  days super fast considering the situation item well received thanks seller"
"174","fsst deliver will try if effectivehope so "
"175","item received in good condition and works very well"
"176","everything is packed nicely in a box and it is individually sealed it comes with a  head charger that allows you to charge  ems at the same time strong powerful ems with different mode good product"
"177","product was packaged really nicely seemed to work well after switching it on and testing it"
"178","item received in good condition and it is working in good condition u can feel the electric movement when applied "
"179","fast delivery"
"180","cant wait to use it good buy and price is very reasonable"
"181","tired using once it works it has many speeds and functions which is good‚"
"182","product received in great condition  thanks seller‚"
"183","items received yet to try hope it works well‚"
"184","fast delivery and good condition"
"185","originally ordered and received a blue grid roller cos the one i wanted wasnt in stock however the seller came to my place and made the change to what i wanted in pic awesomeness‚"
"186","thank you very satisfied with my order product is great n works well well packaged n speedy delivery by jt courier received the next day after i placed my order i use the bumpy one for my legs coz of long distance running and the smooth one for my lower back‚"
"187","received the item in good condition its firm and really kneads those achey muscles bought two rolls and comes with free delivery will order again if needed tks"
"188","delivery was so prompt i‚m surprised have yet to use it will purchase again if   good"
"189","very fast delivery and items also good"
"190","product works but efficacy unknown yet‚"
"191","seller was very prompt in updating on the product delivery tried and works perfectly well‚"
"192","product received earlier than anticipated the shopee status was indicating in transit size a lot different than expected  box was crushed on arrival have yet to try out but hope it worksthe arm strips looks very small and short seller is responsive one of the unit not working "
"193","shipment took longer than expected but it is becos of the covid situation so i can undrrstand"
"194","received in time seems to work ok however cannot feel any pulse from the additional wrap around sections that are attached to the main abdominal pad section aside from that works as described‚"
"195","looks good "
"196","fast delivery "
"197","super fast delivery  received faster than expected  great stuff"
"198","fast delivery was just expecting it would include a bag but overall   worth the price still love the color too‚"
"199","happy with my purchase "
"200","good thank you"
"201","good customer service although there are some problem after goods received but seller is responsible and make the replacement "
"202","fast delivery for the price it is this is pretty good tried and works well except the gel on the pads tend to be very difficult to peel off when u want to reuse it"
"203","havent tried it yet but got it in good condition hope it works"
"204","received item earlier than given date tried the product i think it will work gonna try for a longer period and see how it goes‚"
"205","received in good condition yet to try and i hope it works fine"
"206","it actually works i can feel my muscles clench hopefully it helps with my workout results"
"207","fast delivery tested ok"
"208","recieved havent tey yet hopefully it works for me "
"209","thanks for the item"
"210","thanks so much seller received  testedit works "
"211","on time delivery  product condition good and working well  "
"212","strong vibrations  it made my arms twitch  will use for a while and update  adhesive quite sticky‚"
"213","fast deliveredthanks i havent ‚ yetlook is good"
"214","tried strong vibration"
"215","came a little later than etabut understandable due to covid product works fineand can feel the muscles being clenchedalthough the one for the abs need to be set to a higher intensity to be able to feel it overall recommended"
"216","items received in good packaging and condition will try it soon n see what the result"
"217","overall okay dont feel much of the intensity but delivery was fast thanks"
"218","items well received have yet to try"
"219","packaged nicely"
"220","sticky pads not sticky after just one use electronics works just fine"
"221","working well my tummy is sweating will buy again when its spoil hopefully no so soon "
"222","good product "
"223","ahhhhhhh thisss isssss greatttt product i luv itvi tried working welll"
"224","just received the item in good condition nicely packaged have not try it yet hope it will be useful"
"225","this product is awesome i just got mine it works perfectly gonna get one more for my friend"
"226","good purchase working well"
"227","item received in good condition i found the size might be slightly too big for me make it harder for me to row around"
"228","accurate product works well"
"229","requested for the blue one and seller gave it to me thank you item was delivered promptly packaged properly and has no defects very satisfied with it "
"230","good product and received it quickly"
"231","satisfied with purchase  "
"232","super fast delivery"
"233","nice product fast shipping "
"234","good‚"
"235","very good service  delivery was super fast seller is responsive and responsible definitely will continue to buy from this seller again recommended"
"236","have yet to try but thank you for confirming the delivery and good service  thank you"
"237","thanks seller for the prompt reply and assist to shipped out my purchase on the next business day will use it together with my training and see hows the effect will be "
"238","received but yet try"
"239","received faster than expected work well "
"240","have yet to try"
"241","was great"
"242","good condition"
"243","i had recieved the goods is well package and the controller is working thanks"
"244","received well"
"245","works very well"
"246","product did not take too long to arrive tested and working perfectly as can feel the reaction on the muscles"
"247","received thru letterbox tested and can definitely feel something specially on high level not sure if it can accomplish what it claims but will find out soon enough adhesive gels would probably lose stickiness after a while though‚"
"248","it works  "
"249","yet to open just collected so far experience dealing with seller is good"
"250","received well with the pads wrapped up properly too charging the controllers to see if they work but overall satisfied with this purchase"
"251","pretty good easy to use hope it will be effective and useful"
"252","received in good physical condition cant wait to use this hope it works as advertised thank you seller"
"253","nice packaging fast reply hopefully it works"
"254","very good"
"255","good cs haven try out the item "
"256","well look nice  yet to try ‚"
"257","item received in good condition"
"258","fast delivery "
"259","ordered this only a few days ago  fast item came nicely wrapped looks good looking forward to use it‚"
"260","bright and nice orange colour fast delivery‚"
"261","received in good condition thank you seller for the prompt delivery ‚"
"262","delivery was fast and worth it for the price material is a little hard so it helps with back ache and soreness overall good quality and prompt delivery "
"263","fast delivery the foam roller is hard and‚of good quality highly recommended "
"264","my second purchase good quality and value for money fast delivery too "
"265","delivery was fast"
"266","package in good condition have yet to try it but im excited"
"267","box are dented oh why"
"268","good buy during flash deal "
"269","looks cute  all but back part rides up like some others said although sizing was right"
"270","the padding was thicker than those from other products and fitting around bust could be better "
"271","love the back of the design "
"272","the paddings are too thick and do not mold well especially on white colour shoulder straps are a bit short yet underarm hems gap a little "
"273","a good fit and quality material it is also very comfortable though the cloth is on a thicker side"
"274","fast delivery received as what shown but the bra site doesnt fit well on me maybe i don‚t have big boobs"
"275","received in  days quality is good  comfy "
"276","will got another type well fitted"
"277","ordered nd of november received on the th of june very satisfied with the top "
"278","shipping is fast once it reaches sg"
"279","material is nice and soft has a built in bra compartment i like it a lot "
"280","quite thick feels like swimwear "
"281","very good material comfortable and sizing is as described stretchable "
"282","good quality thumb up "
"283","tank top came with removable bra padding it was on the thicker side and weights a little so i swapped it out other than being a low  medium intensity bra tank this too could easily be a lounge wear basic top "
"284","major love the scoop back top plus the inner padding "
"285","nice bareback cutting could even pair it with nice pants or skirt to head out material is thick and sticks nicely to the body when working out "
"286","like this very much kg m fits me well  "
"287","m is too big for uk would suggest getting s instead so sad it feels so comfy but too big for me  "
"288","love it size just right"
"289","have yet to try but so far quality is good comes with a push up cups"
"290","usually an s for sports bras not very tight makes a better layering top "
"291","fast delivery within  weeks quality is really good too can double up as a camisole and work out top for reference am kg ‚ waist and usually an xss and s fits perfectly m would‚ve been too loose ‚ like another that i‚ve bought will recommend"
"292","soft quality and really nice product overall shipping is fast too"
"293","size too small and not expandable "
"294","bought it during flash sale and got  diff colours and sizes i‚m usually a uk  size m fits me better and size s is more body hugging which i prefer it to be looser   comfy to wear it as a lounge wear at home "
"295","initially thought material would be a little thin and not very good but its actually nice and sturdy and hugs the body just right "
"296","sizing fits well and material is decent not translucent at all will definitely order again "
"297","quality is good suitable for low impact exercises could be worn as casual wear too"
"298","bought this pair of tights for a friend who is uk fits perfectly"
"299","great tops can be worn outside as well note that the material is stiffer and thicker than usual so don‚t expect it to be as stretchable but good quality for sure "
"300","comfortable "
"301","nice the padding was little too thick for my liking but it is removable so no issues there i wear uk i got a m size  it was just rightmaybe a little snug  but still ok "
"302","not a fan of the inner rubber band but the cut looks pretty "
"303","nice love the colour n good quality wil buy again "
"304","fits well and doesn‚t shift while working out very comfortable highly recommend"
"305","fits uk cc "
"306","love honestly was afraid the purple wld be too dull but it complements my skin tone really well‚Ô ended up the most in love with the purple out of all the tops they were all great good cutting quality material cm kg uk bought m"
"307","item received well packaged normally wear a size s for tops m for this fits well "
"308","this tank too is very nice good padding can wear it for workout or just going out love it"
"309","sized up cause of bust size ordered m before but it doesn‚t provide good support for bigger bust size this one fits okay and quite good support would be great if the strap is adjustable so we can adjust for body length"
"310","love the quality am very happy with it am probably gonna use my own padding unsure if i bought one size too small but still love it"
"311","i‚m uk  for top and this is slightly big for me but comfortable thanks seller "
"312","item took a while to arrive but quality is good and flattery cut comfortable to exercise in"
"313","material is comfortable true to size will repurchase when there‚s a sale again"
"314","usually a uk on top but even then the top can be a little tight to put on and take off though the fit is ok once   on might try to size up next timek mok"
"315","the size s appears to be very tight even though usually i wear size s for tops hopefully it will get looser as i stretch it"
"316","fits perfectly decent price for good quality very fast delivery will definitely purchase again"
"317","picked size s equivalent to adidas xs "
"318","looks nice but straps were a bit too short not very comfortable "
"319","love this well padded and fits well usual s sized up"
"320","good quality happy to receive fast delivery also thank you seller"
"321","love this  could also use as a top on its own super comfy and looks good removable paddings will be buying again in other colours"
"322","straps are a little loose  nonetheless a good product overall considering the price paid "
"323","packed individually as described feel the quality is adequate to pricing hope it‚ll last"
"324","so pleased with my purchase it works as a top for barre or yoga lessons if you prefer or even as a top over highwaisted bottoms "
"325","a bit shorter than expected"
"326","good quality and highly recommended"
"327","nicely packed great material but doesn‚t fit that well on me though"
"328","relatively quick delivery with correct item in good condition no dents or damage i could see and was packaged in a few layers of plastic protection satisfied with product  "
"329","fast delivery and well packed normal to have sore pain after rolling"
"330","fast delivery abt  days received after place order buy for daughter she tried say it good to relax muscle "
"331","delivery was really fast only took  days am satisfied with my purchase "
"332","pdt feels sandy dirty after unwrapping "
"333","good quality foam roller for pre and post workouts item received in days "
"334","item is well packed and in good condition fast delivery ordered on  and received on  thanks seller‚ "
"335","helps with massaging my back and rolling over knots recommended "
"336","second or third purchase already item as shown seller is super responsive and i received the foam roller  within a few days "
"337","took pretty long to arrive but they‚re so pretty love them and cant wait to try them "
"338","super fast delivery  so far no issues and thanks for the speedy delivery "
"339","quality quite good delivery fast considered the covid situation "
"340","well receivedlike the product "
"341","great"
"342","extremely fast delivery received  days after ordering good quality and looks durable will reccomend "
"343","item arrived very quickly tested and worked well with my sore muscles thanks "
"344","received in  days"
"345","item well received its bigger than expected there was some prob initially with the delivery but it was promptly action on by the seller "
"346","very sturdy and no faults a lil heavy but thats good to hold my body weight when i roll i think the length is just nice for me too used a nalgene bottle for comparison "
"347","quality seems not too bad price is not expensive and delivery was fast "
"348","looks good and i‚ll be using this for my aching shoulder   very fast delivery"
"349","seller reply my enquiries promptly delivered within a few days there is a small dent on blue one "
"350","packaging was a bit torn off when i opened the package overall good quality and fast delivery ordered on sunday and arrived today"
"351","this is life changing product is really good and i feel so good after using it my body aches are better managed highly recommended"
"352","delivery speed was really fast good product and will be back for more "
"353","fast delivery within  days from date product is good value for money"
"354","good quality good price good delivery feels very good to roll upper back and thighs"
"355","nice colour and good for back though on the heavy side compared to my previous one "
"356","oh was expecting it to be slightly smaller in circumference but its sturdy and of quality"
"357","time is of good quality it is hard enough to serve its purpose "
"358","good quality will order again "
"359","its sturdy and does the job well "
"360","received item in good condition first time using this so got my son to teach me how to use it to benefit me "
"361","ordered on thursday and delivered on saturday feels quite sturdy for  there are some creaseswrinkles on the foam hopefully they dont affect the usage and product‚s longevity"
"362","note doesnt include the blue small one the delivery was fast and the quality is real good recommended "
"363","happy with the delivery time and product received  days after placing order and both are sturdy think i need to study a bit more on how to properly use the rollers maybe on youtube or something"
"364","good quality firm and sturdy roller cheap price speedy delivery useful for my back thank you"
"365","still prefers the normal grid one this feels too pokey for me but the qualify is decent"
"366","received really soon within a few days bigger than expected but thats great  came with photos of suggested massage techniques cant wait to use it shoes size  for reference"
"367","nd purchase happy with my first one came really fast only took  days"
"368","received well packaged and fast  came as ordered and no defects or issues "
"369","value for money minor imperfection as seen in picture but still usable "
"370","received in less than a week round rumble works just fine good stuff"
"371","products were shipped the next day after purchase and came very quickly items are exactly as described "
"372","super fast shipping"
"373","great customer service"
"374","delivery was quite fast the item came in good condition still yet to try"
"375","received thanks i don‚t regret "
"376","this helps my husband‚s leg pain and that means i don‚t have to burn my energy massaging and delivery was so fast not even  days i think "
"377","fast delivery ordered on rd jun received on the th cant wait to try it   seller was really helpful and patient when i met with an issue with the courier service "
"378","received within a week the spikes are firm and it feels good when used really presses into you acupoints when you lie on it"
"379","product came within a week good quality and nice colour as well  worth the buy "
"380","tested good so far this bigger cm  diameter yoga roller work better than those which is smaller at cm diameter which cost less than  of this item"
"381","feels really sturdy and material feels very good as welll hope it will last for a while"
"382","product seems rather sturdy fast delivery"
"383","item received in good condition yeapppppppppppppppppppp"
"384","bought the spike and grid i like the color tested rolling on my sore muscle and it feels good i wish it can be more intense and very fast delivery "
"385","received the items super quickly and they are true to picture "
"386","fast delivery and item as described "
"387","good quality foam came within  days which was really fast and efficient‚"
"388","ordered on mar  received on mar in good condition good buy"
"389","fast delivery"
"390","product came in good condition amd well packed highly recommended"
"391","value for money fast delivery will try tommorow during my home wrkout"
"392","product came nicely wrapped in good condition abit disappointed as it was too small to use for rolling on the back as pictured otherwise i use it for my legs after my run and it helps"
"393","very good quality great value for money happy with my order"
"394","item received promptly and as described very durable too"
"395","received it well good for price"
"396","super good item rigid and steady foamer highly recommended‚"
"397","thinner than expected but satisfied perfectly portable‚"
"398","product received in good condition good quality and fast delivery‚"
"399","very fast delivery but the inner core of the roller does not feel as strong as the one i bought previously elsewhere"
"400","very good"
"401","loooks good and   quite tough shall try it in a short while‚"
"402","works well ‚"
"403","nice to use very firm and can feel the spikes"
"404","received as described fast delivery even during circuit breaker time"
"405","luckily got nearby collection point if not delivery is charged item looks discolored and a bit of scratches"
"406","bought this many many times i like it a lot good fit and comfortable "
"407","bra feels really comfortable and good really very worth it delivery was very fast too definitely recommend "
"408","very good quality happy for my orderthank u seller"
"409","received p quickly and in good condition padding isn‚t that great but worth for price paid"
"410","the only thing thats off is the padding its not memory foam so when it arrived it was squished and deformed but i use my own bra and its super nice "
"411","received in good condition good quality  for the price paid "
"412","fast delivery and received in good condition with well packaging item exact to picture as well"
"413","a little dusty but overall item came pretty fast and in good condition"
"414","items received fast and wrapped‚ fantastic‚"
"415","very good packaging and good condition too very satisfied bought  and planning to give as christmas presents"
"416","fast delivery excellent customer service fast response when i msg will buy again from this shop"
"417","very good very effective with rolling out knots and it is a great way to stretch out after a good gym session not to mention the price is very affordable for the quality and make"
"418","received in good condition delivery within week never expected the size are big to me hopefully it useful on exercise love it‚"
"419","fast delivery via ninja box saved on the delivery fee works well"
"420","receive in good conditionfast delivery ‚"
"421","item was delivered quickly and is in good condition thank you"
"422","loove it"
"423","ordered on  apr and received it on  apr perfect to relieve sore muscles "
"424","foam roller received  days after ordering works great and true to picture definitely a bargain  highly recommended"
"425","second time purchase very love the product highly recommended "
"426","received fast quality not bad it is convenient for me carrying to gym‚"
"427","quick and good product"
"428","delivery was fast product looks and feels ok just tested it and it felt like a good back massage"
"429","very high quality products very satisfied and highly recommended "
"430","order recieve in good condition"
"431","the condition of the bra after washing for  time colour more dull than expected overall comfortable value buy"
"432","material is very soft and comfortable well made item as it is dual sized it may not be a snug fit but   great for home wear "
"433","good quality thou bit loose in me cos i m xs "
"434","its good will buy again"
"435","very well packed and in good condition can‚t wait to try  it out and see how comfortable it will be "
"436","items is received in good order as in pic  "
"437","bought for my teenage children good and useful for back exercise"
"438","received products in good condition roller is sturdy   and fast delivery ordered two days ago only thank you seller "
"439","delivery quite prompt and fast packaging is done nicely with plastic wrap material feels sturdythe price also a great value overall a value buy"
"440","finally some relief for my aching back"
"441","received in good condition thanks for quick delivery"
"442","very fast delivery and nice colour "
"443","item received in perfect condition and i‚m excited to try thank you will purchased other rollers in future "
"444","delivery within  days item received well packed and in good conditions great for beginners value for money"
"445","item received in good condition a good size that is able to cover the whole body"
"446","fast shipping"
"447","shipping was very fast product as advertised and good quality "
"448","item came perfect will definitely buy againthe sizing is good very satisfied"
"449","super comfortable but will wear it as a nightwear rather than a sports bra the cup wasnt that troublesome as compared to other feedbacks"
"450","love it i have gone back for repurchase helps to support c cup "
"451","very good quality for the price paid quite stretchable for a sports bra the padding that comes with it is comfortable too "
"452","quality is good and delivery is fast thank u saler"
"453","received in good condition nice soft material too "
"454","delivery was fast nd purchase "
"455","received product all in order "
"456"," gd material"
"457","not to my liking"
"458","makes riding more comfortable after wearing highly recommended "
"459","received not yet used but should be fine"
"460","thick padded material  true sizing as stated my second purchase thanks seller"
"461","thick padded material  true sizing as stated thanks seller"
"462","items received as advertised and well packed fast and prompt delivery"
"463","fast delivery from seller have yet to try it on but the padding is thick enough hopefully can last long thank you "
"464","good quality and fast delivery thanks will order again"
"465","very good n prompt service thank you n will shop with you again "
"466","item received good condition will definitely buy more  thank you good buy "
"467","product was well packed and came in good condition also delivery was fast highly recommended"
"468","great quality for the price sturdy thankyou both seller and ninjavan "
"469","very good product and fast delivery‚"
"470","received very quickly ordered thursday night right before good friday public holiday received on monday immediately after easter weekend well packaged and seems sturdy and well made thank you"
"471","got the grid  spike version came in good condition and correct colour with fast delivery thank you"
"472","good and solid foam roller "
"473","looks good for the price"
"474","my second purchased comfortable good for long ride"
"475","recieved in good packaging and item quality is good by visual judgement  the seller picture of this item is exactly alike to what i recieved  not bad to recommend to mtb bikers ethusiast"
"476","very gd"
"477","ordered according to size guide and it fits exactly quality is good delivered ahead of schedule‚"
"478","take quite a while to deliver product not too bad"
"479","slightly loose follow according to the chart suggest  size smaller because it is expandable happy riding "
"480","comfortable cycling shorts this is a repeat purchase "
"481","size is what i expected the padding is more like thick foam than gel but it is proper tried it on the bike and it provides the required bumper between your sitting bone and the saddle delivery is quite fast happy with the purchase "
"482","item as described"
"483","thank you for the deal item is good product fast delivery "
"484","received item in order item is as mentioned and will recommend others to buy as it is value for money "
"485","bought  colors colors are true to picture cup sizes are a little big i‚m pretty petite but for the price i can‚t really complain material is good too "
"486","comfy material stretchable but padding abit dented  "
"487","good paddings but only can use for light yoga classes not sure if can use for hiit classes though fast delivery at mail box"
"488","delivery is fast material is good stripe is adjustable but cannot be remove "
"489","really really love this bra the fitting is so good and it gives the body a nice shape"
"490","fabric is smooth but the colour is very dull the bra pads were also folded and there were dents not aesthetically pretty too does not look like photo in store"
"491","friends love it and fast delivery too quality good"
"492","fix well good quality for the price "
"493","very nice "
"494","the top fits well but is probably more suitable for light workouts at home cos the paddings dont really fit as well but its very comfy it really gives the pushup effect "
"495","the bra padding is all bumpy very obvious doesnt create push up bra effect either "
"496","well received  good material  slightly bigger than expected "
"497","no pain while riding just abit tight in the groin "
"498","size abit small so must upsize"
"499","efficient and fast delivery "
"500","item received thanks‚"
"501","good quality‚"
"502","gud"
"503","item well received yet to try but its really soft colours are true to picture love the green piece especially "
"504","good material goods well received"
"505","the material is comfortable and soft delivery is also quite fast"
"506","th time ordered"
"507","received yesterdaythe material is good and softexpandablelove itthank you"
"508","not bad product"
"509","the material is soft and comfortable nice to wear it fits just well however the push up not so good compare to real bra overall satisfied "
"510","love it will buy again "
"511","got it thanks"
"512","products come in good condition thank you so much"
"513","really worth and very good "
"514","super fast delivery shipment came unexpectedly earlier today within a week good service"
